ts,free_gb,inactive_gb,lms_models_loaded,lms_status
2026-09-19T17:28:01Z,2.41,56.45,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:28:06Z,0.24,36.24,1,";IDENTIFIER               MODEL                    STATUS              SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-code"
2026-09-19T17:28:12Z,2.05,35.99,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:28:17Z,1.92,35.93,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:28:22Z,2.45,36.14,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:28:27Z,0.92,36.28,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:28:32Z,1.88,35.97,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:28:38Z,1.72,35.94,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:28:43Z,1.93,35.92,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:28:48Z,1.90,35.88,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:28:53Z,1.70,35.88,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:28:58Z,0.20,35.48,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:29:04Z,1.41,35.05,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:29:09Z,2.49,37.27,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:29:14Z,2.69,40.99,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:29:19Z,2.71,43.97,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:29:24Z,2.76,46.07,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:29:30Z,2.71,48.64,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:29:35Z,3.23,50.83,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:29:40Z,3.23,52.22,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:29:45Z,3.15,54.43,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:29:50Z,2.75,57.15,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:29:55Z,2.55,35.68,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:30:01Z,0.55,40.72,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:30:06Z,1.96,46.43,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:30:11Z,2.62,48.60,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:30:16Z,2.70,50.36,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:30:21Z,2.63,51.95,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:30:27Z,2.77,53.57,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:30:32Z,1.93,56.94,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:30:37Z,1.91,57.36,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:30:42Z,1.63,57.20,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:30:47Z,2.76,57.48,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
