ts,free_gb,inactive_gb,lms_models_loaded,lms_status
2026-09-19T17:15:50Z,0.60,54.86,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:15:55Z,1.05,54.70,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:16:00Z,0.25,54.63,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:16:06Z,43.62,37.29,0,";"
2026-09-19T17:16:43Z,41.07,37.39,0,";"
2026-09-19T17:16:48Z,42.42,37.57,0,";"
2026-09-19T17:16:54Z,41.85,37.53,0,";"
2026-09-19T17:16:59Z,41.36,37.23,0,";"
2026-09-19T17:17:04Z,41.96,37.24,0,";"
2026-09-19T17:17:09Z,42.35,37.80,0,";"
2026-09-19T17:17:14Z,42.48,37.79,0,";"
2026-09-19T17:17:19Z,42.55,37.73,0,";"
2026-09-19T17:17:25Z,42.47,37.76,0,";"
2026-09-19T17:17:30Z,42.97,37.67,0,";"
2026-09-19T17:17:35Z,42.97,37.66,0,";"
2026-09-19T17:17:40Z,42.98,37.66,0,";"
2026-09-19T17:17:45Z,42.98,37.66,0,";"
2026-09-19T17:17:50Z,42.99,37.66,0,";"
2026-09-19T17:17:56Z,42.57,37.71,0,";"
2026-09-19T17:18:01Z,41.96,37.71,0,";"
2026-09-19T17:18:06Z,41.78,37.88,0,";"
2026-09-19T17:18:11Z,41.77,37.97,0,";"
2026-09-19T17:18:16Z,41.63,38.17,0,";"
2026-09-19T17:18:21Z,42.09,38.16,0,";"
2026-09-19T17:18:26Z,41.28,38.76,0,";"
2026-09-19T17:18:32Z,41.28,38.77,0,";"
2026-09-19T17:18:37Z,41.29,38.77,0,";"
2026-09-19T17:18:42Z,41.47,38.68,0,";"
2026-09-19T17:18:47Z,29.60,44.24,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:18:52Z,0.14,39.25,1,";IDENTIFIER               MODEL                    STATUS              SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-code"
2026-09-19T17:18:57Z,2.74,34.88,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:19:03Z,1.84,35.24,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:19:08Z,3.35,35.24,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:19:13Z,3.39,35.22,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:19:18Z,3.49,35.22,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:19:23Z,3.48,35.30,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:19:28Z,3.39,35.24,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:19:34Z,3.06,35.24,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:19:39Z,2.77,35.32,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:19:44Z,2.48,35.32,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:19:49Z,2.73,35.28,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:19:54Z,2.18,35.29,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:20:00Z,0.41,35.76,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:20:05Z,1.34,36.03,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:20:10Z,1.52,36.00,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:20:15Z,1.93,35.49,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:20:20Z,1.83,35.58,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:20:26Z,1.75,35.57,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:20:31Z,0.68,35.57,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:20:36Z,0.40,35.51,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:20:41Z,0.68,35.46,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:20:46Z,0.29,36.02,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:20:52Z,0.20,36.09,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:20:57Z,0.12,36.01,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:21:02Z,0.43,36.13,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:21:07Z,0.51,36.11,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:21:13Z,0.21,36.17,1,";IDENTIFIER               MODEL                    STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next"
2026-09-19T17:21:18Z,0.15,35.53,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:21:23Z,0.38,40.07,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:21:28Z,0.20,43.96,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:21:33Z,0.75,48.03,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:21:39Z,1.02,50.10,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:21:44Z,0.13,53.68,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:21:49Z,1.45,57.93,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:21:54Z,1.75,57.89,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:21:59Z,1.82,57.88,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:22:05Z,0.52,58.31,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:22:10Z,0.15,49.15,1,";IDENTIFIER               MODEL                    STATUS              SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-code"
2026-09-19T17:22:15Z,1.49,34.77,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:22:20Z,1.58,39.65,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:22:25Z,1.93,41.63,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:22:30Z,1.62,44.98,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
2026-09-19T17:22:36Z,1.55,47.48,1,";IDENTIFIER               MODEL                    STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next    qwen/qwen3-coder-next    "
