ts,free_gb,inactive_gb,lms_models_loaded,lms_status
2026-09-19T22:18:40Z,3.74,55.37,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:18:45Z,0.13,53.21,2,";IDENTIFIER                MODEL                     STATUS              SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-c"
2026-09-19T22:18:50Z,0.12,33.04,2,";IDENTIFIER                MODEL                     STATUS              SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-c"
2026-09-19T22:18:55Z,0.15,30.12,2,";IDENTIFIER                MODEL                     STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-n"
2026-09-19T22:19:01Z,0.11,22.64,2,";IDENTIFIER                MODEL                     STATUS              SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-c"
2026-09-19T22:19:06Z,0.47,21.15,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:19:12Z,0.94,23.25,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:19:17Z,0.93,25.40,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:19:22Z,0.84,26.48,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:19:27Z,0.81,28.44,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:19:32Z,0.83,30.26,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:19:37Z,0.86,30.62,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:19:43Z,0.87,30.61,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:19:48Z,0.26,30.85,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:19:53Z,0.22,30.85,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:19:58Z,0.39,19.71,2,";IDENTIFIER                MODEL                     STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-n"
2026-09-19T22:20:03Z,0.66,19.99,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:20:08Z,1.77,21.83,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:20:14Z,1.82,23.46,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:20:19Z,1.69,24.52,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:20:24Z,1.67,25.10,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:20:29Z,2.17,27.18,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:20:34Z,2.16,28.17,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:20:39Z,2.16,29.12,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:20:45Z,2.15,30.10,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:20:50Z,2.14,30.19,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
2026-09-19T22:20:55Z,4.41,29.52,2,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen/qwen3-coder-next     qwen/qwen3-coder-next "
