ts,free_gb,inactive_gb,lms_models_loaded,lms_status
2026-09-19T18:58:46Z,33.10,41.92,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:58:51Z,32.90,34.95,1,";IDENTIFIER            MODEL                 STATUS              SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    PR"
2026-09-19T18:58:56Z,31.70,34.16,1,";IDENTIFIER            MODEL                 STATUS              SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    PR"
2026-09-19T18:59:02Z,30.73,33.59,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T18:59:07Z,31.87,33.79,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T18:59:12Z,31.78,33.83,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:59:17Z,31.89,38.07,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:59:22Z,32.00,42.36,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:59:28Z,32.11,42.53,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:59:33Z,32.34,42.43,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:59:38Z,32.40,42.42,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:59:43Z,32.52,42.36,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:59:48Z,32.59,42.33,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:59:53Z,32.39,42.47,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:59:59Z,31.58,42.70,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:00:04Z,31.56,42.88,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:00:09Z,31.65,34.06,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T19:00:14Z,32.11,33.99,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:00:19Z,32.17,34.85,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:00:24Z,32.21,36.76,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:00:30Z,32.18,37.91,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:00:35Z,32.30,39.34,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:00:40Z,32.42,40.16,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:00:45Z,32.43,41.03,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:00:50Z,32.21,41.90,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:00:56Z,32.33,42.47,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:01:01Z,31.61,42.68,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:01:06Z,32.11,42.63,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
